router_id,latitude,longitude
R-01,12.9678964,79.1595915
R-02,12.9680581,79.1579322
R-03,12.9683276,79.1583194
R-04,12.9689205,79.1575174
R-05,12.9691361,79.1559411
R-06,12.9691361,79.1567154
R-07,12.969163,79.156992
R-08,12.9693247,79.1575727
R-09,12.9693517,79.1566324
R-10,12.9693786,79.1579875
R-11,12.9694595,79.1570473
R-12,12.9696212,79.155388
R-13,12.9703218,79.1595362
R-14,12.9704566,79.163961
R-15,12.9705105,79.1606424
R-16,12.9705105,79.1659245
R-17,12.9705644,79.1611126
R-18,12.9706722,79.1589555
R-19,12.9706991,79.161721
R-20,12.9707261,79.1599787
R-21,12.9707261,79.166367
R-22,12.970753,79.1621635
R-23,12.970753,79.1627166
R-24,12.9708069,79.1613615
R-25,12.9708339,79.1640717
R-26,12.9708608,79.1633803
R-27,12.9708878,79.1604488
R-28,12.9708878,79.1670031
R-29,12.9709956,79.165731
R-30,12.9710225,79.1607807
R-31,12.9711034,79.1611402
R-32,12.9711573,79.1641546
R-33,12.9712651,79.1664776
R-34,12.971292,79.1629378
R-35,12.9713459,79.1616933
R-36,12.9713459,79.1670861
R-37,12.9713729,79.1639887
R-38,12.9714537,79.1624953
R-39,12.9717502,79.1658139
R-40,12.9720197,79.1571579
R-41,12.9720466,79.1576004
R-42,12.9721005,79.1670861
R-43,12.9721005,79.1677221
R-44,12.9721544,79.1611955
R-45,12.9721813,79.1581811
R-46,12.972343,79.1624123
R-47,12.97237,79.1630208
R-48,12.9725317,79.1581258
R-49,12.9727203,79.1573238
R-50,12.9727203,79.157711
R-51,12.9727203,79.1610296
R-52,12.9727203,79.1613891
R-53,12.9727203,79.1616657
R-54,12.9727203,79.1620528
R-55,12.9727742,79.1595362
R-56,12.972882,79.1583747
R-57,12.972882,79.1592873
R-58,12.9729898,79.163961
R-59,12.9730707,79.1589278
R-60,12.9733402,79.1585683
R-61,12.9733941,79.1597022
R-62,12.9735558,79.1632973
R-63,12.9735827,79.1590384
R-64,12.9737714,79.1638228
R-65,12.9738792,79.1660352
R-66,12.9742295,79.1635186
R-67,12.9745798,79.1657863
R-68,12.9748224,79.1642376
R-69,12.9749032,79.1638504
R-70,12.9752266,79.1641823
